,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
1384,Tulane University,http://premium.usnews.com/best-colleges/\%22/best-colleges/tulane-university-2029\%22,"#52, National Universities",27.27%,3.5,1430 / 32
1386,Tuskegee University,http://premium.usnews.com/best-colleges/\%22/best-colleges/tuskegee-university-1050\%22,"#13, Regional Colleges (South)",35.11%,3.2,1030 / 22
1388,Union College,http://premium.usnews.com/best-colleges/\%22/best-colleges/union-college-2563\%22,"#43, Regional Colleges (Midwest)",45.00%,3.3,N/A / 25
1389,Union College,http://premium.usnews.com/best-colleges/\%22/best-colleges/union-college-2889\%22,"#41, National Liberal Arts Colleges",38.22%,3.5,1380 / 32
1392,United States Air Force Academy,http://premium.usnews.com/best-colleges/\%22/best-colleges/united-states-air-force-academy-1369\%22,"#25, National Liberal Arts Colleges",9.89%,3.9,1410 / 32
1393,United States Coast Guard Academy,http://premium.usnews.com/best-colleges/\%22/best-colleges/united-states-coast-guard-academy-1415\%22,"#2, Regional Colleges (North)",15.89%,3.8,1320 / 29
1405,University at Albany--SUNY,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-at-albany-suny-2835\%22,"#128, National Universities",55.45%,3.5,1190 / 26
1406,University at Buffalo--SUNY,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-at-buffalo-suny-9554\%22,"#109, National Universities",56.91%,3.2,1250 / 28
1408,University of Akron,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-akron-3123\%22,"RNP, National Universities",96.75%,3.0,1160 / 24
1409,University of Alabama,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-alabama-1051\%22,"#86, National Universities",53.08%,3.6,1260 / 30
1410,University of Alabama--Birmingham,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-alabama-birmingham-1052\%22,"#152, National Universities",73.40%,3.5,N/A / 27
1411,University of Alabama--Huntsville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-alabama-huntsville-1055\%22,"#181, National Universities",77.66%,3.9,1280 / 29
1412,University of Alaska--Anchorage,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-alaska-anchorage-11462\%22,"#71, Regional Universities (West)",75.61%,3.0,1150 / 25
1413,University of Alaska--Fairbanks,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-alaska-fairbanks-1063\%22,"RNP, National Universities",75.47%,3.2,1180 / 25
1416,University of Arizona,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-arizona-1083\%22,"#119, National Universities",76.92%,3.4,1230 / 27
1417,University of Arkansas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-arkansas-1108\%22,"#128, National Universities",63.47%,3.6,1240 / 28
1422,University of Arkansas--Pine Bluff,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-arkansas-pine-bluff-1086\%22,"#60, Regional Colleges (South)",32.78%,2.7,910 / 19
1423,University of Baltimore,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-baltimore-2102\%22,"#87, Regional Universities (North)",64.38%,2.9,1100 / 21
1424,University of Bridgeport,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-bridgeport-1416\%22,"RNP, Regional Universities (North)",63.48%,3.0,990 / 21
1427,University of California--Berkeley,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-california-berkeley-1312\%22,"#20, National Universities",18.03%,3.8,1490 / 33
1428,University of California--Davis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-california-davis-1313\%22,"#39, National Universities",45.65%,4.0,1330 / 30
1429,University of California--Irvine,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-california-irvine-1314\%22,"#49, National Universities",42.39%,3.9,1280
1430,University of California--Los Angeles,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-california-los-angeles-1315\%22,"#23, National Universities",21.98%,4.0,1450 / 31
1431,University of California--Riverside,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-california-riverside-1316\%22,"#112, National Universities",62.71%,3.6,1210 / 25
1432,University of California--San Diego,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-california-san-diego-1317\%22,"#39, National Universities",37.76%,4.0,1390 / 31
1433,University of California--Santa Barbara,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-california-santa-barbara-1320\%22,"#41, National Universities",44.04%,3.9,1350 / 29
1434,University of California--Santa Cruz,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-california-santa-cruz-1321\%22,"#86, National Universities",60.88%,3.6,1240 / 27
1435,University of Central Arkansas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-central-arkansas-1092\%22,"#66, Regional Universities (South)",89.97%,3.3,N/A / 26
1436,University of Central Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-central-florida-3954\%22,"#170, National Universities",46.24%,3.8,1280 / 28
1438,University of Central Oklahoma,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-central-oklahoma-3152\%22,"#75, Regional Universities (West)",78.89%,3.6,N/A / 25
1439,University of Charleston,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-charleston-3818\%22,"#19, Regional Colleges (South)",56.00%,3.3,1070 / 26
1441,University of Cincinnati,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-cincinnati-3125\%22,"#135, National Universities",67.05%,3.5,1260 / 27
1443,University of Colorado--Boulder,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-colorado-boulder-1370\%22,"#86, National Universities",83.57%,3.6,1280 / 29
1444,University of Colorado--Colorado Springs,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-colorado-colorado-springs-4509\%22,"#42, Regional Universities (West)",92.36%,3.3,1190 / 25
1445,University of Colorado--Denver,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-colorado-denver-6740\%22,"#190, National Universities",75.87%,3.4,1205 / 26
1447,University of Dallas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-dallas-3651\%22,"#13, Regional Universities (West)",87.61%,3.7,1310 / 29
1448,University of Dayton,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-dayton-3127\%22,"#112, National Universities",55.20%,3.6,1260 / 29
1449,University of Delaware,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-delaware-1431\%22,"#75, National Universities",56.55%,3.8,1310 / 29
1450,University of Denver,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-denver-1371\%22,"#91, National Universities",67.61%,3.7,1300 / 30
1451,University of Detroit Mercy,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-detroit-mercy-2323\%22,"#25, Regional Universities (Midwest)",61.47%,3.5,1250 / 28
1452,University of Dubuque,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-dubuque-1891\%22,"RNP, Regional Universities (Midwest)",77.28%,3.0,1040 / 23
1453,University of Evansville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-evansville-1795\%22,"#9, Regional Universities (Midwest)",80.06%,3.8,1250 / 29
1455,University of Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-florida-1535\%22,"#49, National Universities",44.10%,4.0,1360 / 31
1456,University of Georgia,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-georgia-1598\%22,"#60, National Universities",56.08%,3.8,1330 / 30
1457,University of Great Falls,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-great-falls-2527\%22,"Unranked, Regional Colleges (West)",83.70%,3.2,1090 / 23
1462,University of Hawaii--Manoa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-hawaii-manoa-1610\%22,"#158, National Universities",81.17%,3.5,1190 / 27
1464,University of Hawaii--West Oahu,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-hawaii-west-oahu-21078\%22,"Unranked, Regional Colleges (West)",51.43%,3.3,980 / 21
1469,University of Idaho,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-idaho-1626\%22,"#161, National Universities",65.66%,3.4,1190 / 26
1470,University of Illinois--Chicago,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-illinois-chicago-1776\%22,"#128, National Universities",63.93%,3.3,1270 / 26
1471,University of Illinois--Springfield,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-illinois-springfield-9333\%22,"#28, Regional Universities (Midwest)",56.37%,3.4,N/A / 26
1473,University of Indianapolis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-indianapolis-1804\%22,"#38, Regional Universities (Midwest)",84.43%,3.5,1120 / 25
1474,University of Iowa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-iowa-1892\%22,"#73, National Universities",78.44%,3.6,1320 / 28
1475,University of Jamestown,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-jamestown-2990\%22,"#35, Regional Colleges (Midwest)",56.26%,3.2,1060 / 24
1476,University of Kansas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-kansas-1948\%22,"#101, National Universities",92.28%,3.5,N/A / 28
1477,University of Kentucky,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-kentucky-1989\%22,"#119, National Universities",67.31%,3.6,1240 / 28
1478,University of La Verne,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-la-verne-1216\%22,"#161, National Universities",38.95%,3.5,1130 / 25
1479,University of Louisiana--Lafayette,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-louisiana-lafayette-2031\%22,"RNP, National Universities",60.36%,3.3,N/A / 25
1481,University of Louisville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-louisville-1999\%22,"#161, National Universities",76.29%,3.5,1260 / 28
1482,University of Maine,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maine-2053\%22,"#167, National Universities",81.06%,3.4,1200 / 26
1485,University of Maine--Fort Kent,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maine-fort-kent-2041\%22,"#39, Regional Colleges (North)",56.68%,3.0,1000 / 21
1490,University of Mary Washington,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mary-washington-3746\%22,"#13, Regional Universities (South)",76.83%,3.5,1230 / 27
1492,University of Maryland--Baltimore County,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maryland-baltimore-county-2105\%22,"#158, National Universities",60.35%,3.7,1320 / 29
1493,University of Maryland--College Park,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maryland-college-park-2103\%22,"#62, National Universities",46.82%,4.0,1410
1494,University of Maryland--Eastern Shore,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maryland-eastern-shore-2106\%22,"RNP, Regional Universities (North)",57.50%,2.8,960 / 19
1496,University of Massachusetts--Amherst,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-massachusetts-amherst-2221\%22,"#91, National Universities",62.55%,3.7,1290 / 28
1497,University of Massachusetts--Boston,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-massachusetts-boston-2222\%22,"RNP, National Universities",61.39%,3.2,1170
1498,University of Massachusetts--Dartmouth,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-massachusetts-dartmouth-2210\%22,"#87, Regional Universities (North)",72.13%,3.2,1160 / 25
1499,University of Massachusetts--Lowell,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-massachusetts-lowell-2161\%22,"#158, National Universities",65.81%,3.3,1230 / 27
1501,University of Memphis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-memphis-3509\%22,"RNP, National Universities",64.66%,3.3,1160 / 25
1502,University of Miami,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-miami-1536\%22,"#47, National Universities",39.70%,4.0,1420 / 32
1503,University of Michigan--Ann Arbor,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-michigan-ann-arbor-9092\%22,"#28, National Universities",36.55%,3.8,1460 / 32
1504,University of Michigan--Dearborn,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-michigan-dearborn-2326\%22,"#36, Regional Universities (Midwest)",60.50%,3.6,N/A / 27
1505,University of Michigan--Flint,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-michigan-flint-2327\%22,"#92, Regional Universities (Midwest)",73.81%,3.3,1390 / 25
1506,University of Minnesota--Crookston,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-minnesota-crookston-4069\%22,"#38, Regional Colleges (Midwest)",72.62%,3.2,1120 / 25
1507,University of Minnesota--Duluth,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-minnesota-duluth-2388\%22,"#42, Regional Universities (Midwest)",77.69%,3.4,1180 / 26
1508,University of Minnesota--Morris,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-minnesota-morris-2389\%22,"#154, National Liberal Arts Colleges",60.03%,3.6,1320 / 28
1510,University of Mississippi,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mississippi-2440\%22,"#150, National Universities",61.05%,3.4,1200 / 27
1513,University of Missouri--Kansas City,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-missouri-kansas-city-2518\%22,"#201, National Universities",67.59%,3.3,1380 / 27
1514,University of Missouri--St. Louis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-missouri-st-louis-2519\%22,"RNP, National Universities",68.65%,3.4,1270 / 27
1515,University of Mobile,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mobile-1029\%22,"#27, Regional Colleges (South)",80.35%,3.5,1298 / 25
1516,University of Montana,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-montana-2536\%22,"#201, National Universities",95.35%,3.3,1200 / 26
1517,University of Montana--Western,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-montana-western-2537\%22,"#17, Regional Colleges (West)",75.21%,3.0,1110 / 22
1518,University of Montevallo,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-montevallo-1004\%22,"#36, Regional Universities (South)",87.29%,3.3,N/A / 26
1521,University of Nebraska--Kearney,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nebraska-kearney-2551\%22,"#48, Regional Universities (Midwest)",85.33%,3.4,1190 / 25
1523,University of Nebraska--Omaha,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nebraska-omaha-2554\%22,"RNP, National Universities",80.03%,3.4,N/A / 26
1524,University of Nevada--Las Vegas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nevada-las-vegas-2569\%22,"RNP, National Universities",88.18%,3.2,1110 / 24
1525,University of Nevada--Reno,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nevada-reno-2568\%22,"#181, National Universities",82.99%,3.4,1180 / 26
1527,University of New England,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-england-2050\%22,"#87, Regional Universities (North)",86.13%,3.3,1160 / 26
1529,University of New Haven,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-haven-1397\%22,"#101, Regional Universities (North)",71.47%,3.3,1150 / 26
1530,University of New Mexico,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-mexico-10313\%22,"#181, National Universities",64.58%,3.2,1210 / 25
1531,University of New Orleans,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-orleans-2015\%22,"RNP, National Universities",49.18%,3.1,1255 / 25
1532,University of North Alabama,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-alabama-1016\%22,"#80, Regional Universities (South)",78.50%,3.1,1085 / 24
1533,University of North Carolina School of the Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-school-of-the-arts-3981\%22,"Unranked, Arts Schools",45.21%,3.6,1240 / 26
1534,University of North Carolina--Asheville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-asheville-2907\%22,"#146, National Liberal Arts Colleges",63.82%,4.0,1290 / 27
1535,University of North Carolina--Chapel Hill,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-chapel-hill-2974\%22,"#30, National Universities",27.59%,4.0,1400 / 32
1536,University of North Carolina--Charlotte,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-charlotte-2975\%22,"#201, National Universities",68.52%,3.7,1160 / 25
1537,University of North Carolina--Greensboro,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-greensboro-2976\%22,"#190, National Universities",60.00%,3.5,1120 / 22
1538,University of North Carolina--Pembroke,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-pembroke-2954\%22,"#80, Regional Universities (South)",72.04%,3.3,1010 / 20
1539,University of North Carolina--Wilmington,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-wilmington-2984\%22,"#15, Regional Universities (South)",54.19%,3.9,1250 / 26
1540,University of North Dakota,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-dakota-3005\%22,"#173, National Universities",73.70%,3.3,N/A / 26
1541,University of North Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-florida-9841\%22,"#51, Regional Universities (South)",52.01%,3.7,1240 / 26
1542,University of North Georgia,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-georgia-1585\%22,"#55, Regional Universities (South)",56.25%,3.5,1200 / 26
1544,University of Northern Colorado,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-northern-colorado-1349\%22,"RNP, National Universities",89.07%,3.2,1170 / 25
1545,University of Northern Iowa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-northern-iowa-1890\%22,"#13, Regional Universities (Midwest)",77.51%,3.5,N/A / 25
1547,University of Northwestern--St. Paul,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-northwestern-st-paul-2371\%22,"#13, Regional Colleges (Midwest)",58.68%,3.5,1283 / 27
1549,University of Oklahoma,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-oklahoma-3184\%22,"#101, National Universities",79.14%,3.6,1300 / 29
1550,University of Oregon,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-oregon-3223\%22,"#109, National Universities",74.17%,3.6,1224
1552,University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-pennsylvania-3378\%22,"#7, National Universities",12.60%,3.9,1540 / 34
1554,University of Pikeville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-pikeville-1980\%22,"RNP, National Liberal Arts Colleges",100.00%,3.1,N/A / 22
1555,University of Pittsburgh,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-pittsburgh-3379\%22,"#62, National Universities",56.13%,3.9,1340 / 30
1556,University of Portland,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-portland-3224\%22,"#8, Regional Universities (West)",66.52%,3.6,1290
1568,University of Redlands,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-redlands-1322\%22,"#12, Regional Universities (West)",68.85%,3.6,1240 / 26
1570,University of Rhode Island,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-rhode-island-3414\%22,"#152, National Universities",76.92%,3.3,1180 / 26
1573,University of Rochester,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-rochester-2894\%22,"#32, National Universities",35.32%,3.8,1440 / 32
1574,University of San Diego,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-san-diego-10395\%22,"#91, National Universities",42.59%,3.9,1320 / 30
1575,University of San Francisco,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-san-francisco-1325\%22,"#117, National Universities",69.16%,3.6,1250 / 27
1577,University of Science and Arts of Oklahoma,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-science-and-arts-of-oklahoma-3167\%22,"RNP, National Liberal Arts Colleges",38.53%,3.4,N/A / 25
1578,University of Scranton,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-scranton-3384\%22,"#8, Regional Universities (North)",68.81%,3.4,1220 / 26
1579,University of Sioux Falls,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-sioux-falls-3469\%22,"#35, Regional Colleges (Midwest)",55.50%,3.4,1030 / 26
1580,University of South Alabama,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-alabama-1057\%22,"RNP, National Universities",87.19%,3.4,1150 / 25
1581,University of South Carolina,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-carolina-3448\%22,"#112, National Universities",60.60%,4.0,1290 / 29
1582,University of South Carolina--Aiken,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-carolina-aiken-3449\%22,"#23, Regional Colleges (South)",51.24%,3.6,1080 / 23
1583,University of South Carolina--Beaufort,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-carolina-beaufort-3450\%22,"#66, Regional Colleges (South)",73.04%,3.3,1030
1584,University of South Carolina--Upstate,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-carolina-upstate-6951\%22,"#29, Regional Colleges (South)",64.21%,2.5,1060 / 22
1585,University of South Dakota,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-dakota-10300\%22,"#190, National Universities",88.56%,3.4,1230 / 26
1586,University of South Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-florida-1537\%22,"#170, National Universities",43.20%,3.9,1270 / 28
1587,University of South Florida--St. Petersburg,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-florida-st-petersburg-153701\%22,"#80, Regional Universities (South)",45.84%,3.6,1140 / 24
1588,University of Southern California,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-southern-california-1328\%22,"#23, National Universities",19.93%,3.7,1480 / 33
1589,University of Southern Indiana,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-southern-indiana-1808\%22,"RNP, Regional Universities (Midwest)",71.75%,3.2,1110 / 24
1591,University of Southern Mississippi,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-southern-mississippi-2441\%22,"RNP, National Universities",64.74%,3.2,1150 / 25
1592,University of St. Francis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-francis-1664\%22,"#38, Regional Universities (Midwest)",51.57%,3.4,1080 / 25
1593,University of St. Francis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-francis-1832\%22,"#86, Regional Universities (Midwest)",50.98%,3.2,1050 / 23
1594,University of St. Joseph,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-joseph-1409\%22,"#95, Regional Universities (North)",79.53%,3.3,1060 / 23
1595,University of St. Mary,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-mary-1943\%22,"RNP, Regional Universities (Midwest)",46.66%,3.2,1050 / 25
1596,University of St. Thomas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-thomas-2345\%22,"#112, National Universities",86.67%,3.6,1310 / 28
1597,University of St. Thomas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-thomas-3654\%22,"#33, Regional Universities (West)",79.95%,3.6,1238 / 28
1598,University of Tampa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-tampa-1538\%22,"#22, Regional Universities (South)",58.95%,3.3,1160 / 26
1599,University of Tennessee,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-tennessee-3530\%22,"#101, National Universities",67.32%,3.9,1290 / 29
1600,University of Tennessee--Chattanooga,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-tennessee-chattanooga-3529\%22,"#49, Regional Universities (South)",76.28%,3.4,1150 / 25
1601,University of Tennessee--Martin,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-tennessee-martin-3531\%22,"#46, Regional Universities (South)",75.55%,3.5,N/A / 24
1609,University of Texas--Dallas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-dallas-9741\%22,"#142, National Universities",51.97%,3.9,1390 / 31
1610,University of Texas--El Paso,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-el-paso-3661\%22,"RNP, National Universities",99.81%,3.2,1030 / 22
1613,University of Texas--Tyler,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-tyler-11163\%22,"#66, Regional Universities (West)",79.52%,3.4,1170 / 25
1614,University of the Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-the-arts-3350\%22,"Unranked, Arts Schools",69.28%,2.9,1120 / 26
1615,University of the Cumberlands,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-the-cumberlands-1962\%22,"#84, Regional Universities (South)",69.02%,3.3,1030 / 23
1617,University of the Incarnate Word,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-the-incarnate-word-3578\%22,"#71, Regional Universities (West)",94.13%,3.5,1080 / 23
1619,University of the Pacific,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-the-pacific-1329\%22,"#112, National Universities",37.78%,3.5,1340 / 29
1625,University of Toledo,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-toledo-3131\%22,"RNP, National Universities",94.79%,3.2,1160 / 25
1627,University of Tulsa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-tulsa-3185\%22,"#86, National Universities",40.72%,3.8,1410 / 31
1628,University of Utah,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-utah-3675\%22,"#121, National Universities",82.63%,3.6,1270 / 27
1631,University of Virginia,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-virginia-6968\%22,"#23, National Universities",29.55%,4.0,1460 / 32
1632,University of Virginia--Wise,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-virginia-wise-3747\%22,"RNP, National Liberal Arts Colleges",82.90%,3.3,1050 / 23
1633,University of Washington,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-washington-3798\%22,"#52, National Universities",59.15%,3.8,1350 / 30
1636,University of West Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-west-florida-3955\%22,"RNP, National Universities",60.81%,3.4,1090 / 25
1637,University of West Georgia,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-west-georgia-1601\%22,"#89, Regional Universities (South)",55.77%,3.1,1030 / 21
1641,University of Wisconsin--Green Bay,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-wisconsin-green-bay-3899\%22,"#65, Regional Universities (Midwest)",64.01%,3.3,N/A / 25
1643,University of Wisconsin--Madison,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-wisconsin-madison-3895\%22,"#41, National Universities",54.56%,3.8,1400 / 30
1644,University of Wisconsin--Milwaukee,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-wisconsin-milwaukee-3896\%22,"RNP, National Universities",71.36%,3.1,N/A / 24
1645,University of Wisconsin--Oshkosh,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-wisconsin-oshkosh-9630\%22,"#65, Regional Universities (Midwest)",68.47%,3.3,N/A / 24
1646,University of Wisconsin--Parkside,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-wisconsin-parkside-5015\%22,"RNP, National Liberal Arts Colleges",57.09%,2.9,N/A / 23
1648,University of Wisconsin--River Falls,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-wisconsin-river-falls-3923\%22,"#72, Regional Universities (Midwest)",74.53%,3.3,N/A / 24
1649,University of Wisconsin--Stevens Point,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-wisconsin-stevens-point-3924\%22,"#42, Regional Universities (Midwest)",74.71%,3.4,1200 / 25
1650,University of Wisconsin--Stout,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-wisconsin-stout-3915\%22,"#57, Regional Universities (Midwest)",80.25%,3.1,N/A / 24
1652,University of Wisconsin--Whitewater,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-wisconsin-whitewater-3926\%22,"#42, Regional Universities (Midwest)",73.02%,3.2,1170 / 24
