,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
166,Brandeis University,http://premium.usnews.com/best-colleges/\%22/best-colleges/brandeis-university-2133\%22,"#32, National Universities",39.11%,3.8,1450 / 32
170,Brescia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/brescia-university-1958\%22,"#36, Regional Colleges (South)",20.51%,3.3,N/A / 25
171,Brevard College,http://premium.usnews.com/best-colleges/\%22/best-colleges/brevard-college-2912\%22,"RNP, National Liberal Arts Colleges",53.74%,3.0,1070 / 22
173,Briar Cliff University,http://premium.usnews.com/best-colleges/\%22/best-colleges/briar-cliff-university-1846\%22,"#39, Regional Colleges (Midwest)",62.48%,3.2,1030 / 24
175,Bridgewater College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bridgewater-college-3704\%22,"RNP, National Liberal Arts Colleges",54.33%,3.4,1150 / 22
176,Bridgewater State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bridgewater-state-university-2183\%22,"RNP, Regional Universities (North)",73.34%,3.2,1110 / 22
179,Brigham Young University--Provo,http://premium.usnews.com/best-colleges/\%22/best-colleges/brigham-young-university-provo-3670\%22,"#62, National Universities",54.91%,3.8,1380 / 31
182,Bryan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bryan-college-3536\%22,"#22, Regional Colleges (South)",52.03%,3.6,1275 / 26
183,Bryant University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bryant-university-3402\%22,"#14, Regional Universities (North)",62.00%,3.3,1240 / 28
184,Bryn Athyn College of the New Church,http://premium.usnews.com/best-colleges/\%22/best-colleges/bryn-athyn-college-of-the-new-church-3228\%22,"RNP, National Liberal Arts Colleges",45.39%,3.2,1120 / 32
186,Bucknell University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bucknell-university-3238\%22,"#32, National Liberal Arts Colleges",26.99%,3.5,1390 / 31
187,Buena Vista University,http://premium.usnews.com/best-colleges/\%22/best-colleges/buena-vista-university-1847\%22,"#11, Regional Colleges (Midwest)",71.22%,3.4,1190 / 25
188,Burlington College,http://premium.usnews.com/best-colleges/\%22/best-colleges/burlington-college-12183\%22,"RNP, National Liberal Arts Colleges",86.07%,2.7,1250 / 28
189,Butler University,http://premium.usnews.com/best-colleges/\%22/best-colleges/butler-university-1788\%22,"#2, Regional Universities (Midwest)",65.89%,3.8,1280 / 30
191,Cabrini College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cabrini-college-3241\%22,"#131, Regional Universities (North)",72.66%,3.0,1010 / 23
193,Caldwell College,http://premium.usnews.com/best-colleges/\%22/best-colleges/caldwell-college-2598\%22,"#126, Regional Universities (North)",61.41%,3.1,1020 / 21
194,California Baptist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-baptist-university-1125\%22,"#42, Regional Universities (West)",73.29%,3.3,1090 / 23
195,California College of the Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-college-of-the-arts-1127\%22,"Unranked, Arts Schools",90.41%,3.2,1200 / 27
199,California Lutheran University,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-lutheran-university-1133\%22,"#18, Regional Universities (West)",47.26%,3.7,1210 / 27
201,California Polytechnic State University--San Luis Obispo,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-polytechnic-state-university-san-luis-obispo-1143\%22,"#9, Regional Universities (West)",31.25%,3.9,1330 / 30
202,California State Polytechnic University--Pomona,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-polytechnic-university-pomona-1144\%22,"#33, Regional Universities (West)",52.18%,3.4,1190 / 26
205,California State University--Chico,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-chico-1146\%22,"#42, Regional Universities (West)",79.18%,3.2,1120 / 24
206,California State University--Dominguez Hills,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-dominguez-hills-1141\%22,"RNP, Regional Universities (West)",86.96%,3.1,940 / 20
207,California State University--East Bay,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-east-bay-1138\%22,"#90, Regional Universities (West)",58.31%,3.1,1020 / 22
208,California State University--Fresno,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-fresno-1147\%22,"#36, Regional Universities (West)",58.15%,3.3,1040 / 22
209,California State University--Fullerton,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-fullerton-1137\%22,"#35, Regional Universities (West)",45.79%,3.4,1130 / 24
